DATE,rolling score
2003-05-31,0.0899
2003-06-30,0.0895
2003-07-31,0.0899
2003-08-29,0.0889
2003-09-30,0.0894
2003-10-31,0.0928
2003-11-28,0.0967
2003-12-31,0.0998
2004-01-30,0.0928
2004-02-27,0.0943
2004-03-31,0.0935
2004-04-30,0.0981
2004-05-31,0.0947
2004-06-30,0.0919
2004-07-30,0.0918
2004-08-31,0.0907
2004-09-30,0.0844
2004-10-29,0.0831
2004-11-30,0.0872
2004-12-31,0.0815
2005-01-31,0.0849
2005-02-28,0.0825
2005-03-31,0.0796
2005-04-29,0.0829
2005-05-31,0.0846
2005-06-30,0.0843
2005-07-29,0.0778
2005-08-31,0.0834
2005-09-30,0.0901
2005-10-31,0.0873
2005-11-30,0.0846
2005-12-30,0.0882
2006-01-31,0.0819
2006-02-28,0.0778
2006-03-31,0.0728
2006-04-28,0.0542
2006-05-31,0.0475
2006-06-30,0.0424
2006-07-31,0.0379
2006-08-31,0.0379
2006-09-29,0.0402
2006-10-31,0.0432
2006-11-30,0.0408
2006-12-29,0.0441
2007-01-31,0.0402
2007-02-28,0.039
2007-03-30,0.0434
2007-04-30,0.0386
2007-05-31,0.0379
2007-06-29,0.0388
2007-07-31,0.0388
2007-08-31,0.042
2007-09-28,0.0415
2007-10-31,0.0395
2007-11-30,0.0395
2007-12-31,0.0448
2008-01-31,0.0528
2008-02-29,0.0572
2008-03-31,0.054
2008-04-30,0.0574
2008-05-30,0.0555
2008-06-30,0.0519
2008-07-31,0.0562
2008-08-29,0.0603
2008-09-30,0.0653
2008-10-31,0.0612
2008-11-28,0.0923
2008-12-31,0.1258
2009-01-30,0.1319
2009-02-27,0.1089
2009-03-31,0.1148
2009-04-30,0.1126
2009-05-29,0.1294
2009-06-30,0.1316
2009-07-31,0.1198
2009-08-31,0.1157
2009-09-30,0.1152
2009-10-30,0.1046
2009-11-30,0.1053
2009-12-31,0.1034
2010-01-29,0.1018
2010-02-26,0.1015
2010-03-31,0.0981
2010-04-30,0.1013
2010-05-31,0.1024
2010-06-30,0.103
2010-07-30,0.1056
2010-08-31,0.1008
2010-09-30,0.0948
2010-10-29,0.0918
2010-11-30,0.0976
2010-12-31,0.0976
2011-01-31,0.1006
2011-02-28,0.1008
2011-03-31,0.1018
2011-04-29,0.1053
2011-05-31,0.1095
2011-06-30,0.1126
2011-07-29,0.1265
2011-08-31,0.1316
2011-09-30,0.1362
2011-10-31,0.1558
2011-11-30,0.1352
2011-12-30,0.137
2012-01-31,0.1148
2012-02-29,0.0788
2012-03-30,0.0769
2012-04-30,0.0538
2012-05-31,0.0355
2012-06-29,0.0396
2012-07-31,0.0386
2012-08-31,0.0226
2012-09-28,0.0232
2012-10-31,0.022
2012-11-30,0.0243
2012-12-31,0.0232
2013-01-31,0.0232
2013-02-28,0.0284
2013-03-29,0.0282
2013-04-30,0.0275
2013-05-31,0.027
2013-06-28,0.0246
2013-07-31,0.0326
2013-08-30,0.0297
2013-09-30,0.0388
2013-11-29,0.039
2013-12-31,0.0443
2014-01-31,0.0419
2014-02-28,0.0393
2014-03-31,0.0393
2014-04-30,0.0424
2014-05-30,0.0402
2014-06-30,0.0402
2014-07-31,0.0405
2014-08-29,0.0613
2014-09-30,0.0694
2014-10-31,0.0555
2014-11-28,0.0562
2014-12-31,0.0578
2015-01-30,0.0591
2015-02-27,0.0487
2015-03-31,0.0608
2015-04-30,0.0591
2015-05-29,0.062
2015-06-30,0.0607
2015-07-31,0.0595
2015-08-31,0.0552
2015-09-30,0.059
2015-10-30,0.0473
2015-11-30,0.047
2015-12-31,0.0444
2016-01-29,0.0526
2016-02-29,0.0576
2016-03-31,0.0596
2016-04-29,0.0877
2016-05-31,0.1048
2016-06-30,0.0926
2016-07-29,0.0844
2016-08-31,0.0772
2016-09-30,0.0784
2016-10-31,0.083
2016-11-30,0.0798
2016-12-30,0.0598
2017-01-31,0.06
2017-02-28,0.061
2017-03-31,0.0656
2017-04-28,0.0685
2017-05-31,0.0684
2017-06-30,0.0658
2017-07-31,0.0658
2017-08-31,0.0637
2017-09-29,0.0648
2017-10-31,0.0598
2017-11-30,0.062
2017-12-29,0.0595
2018-01-31,0.0615
2018-02-28,0.0632
2018-03-30,0.0535
2018-04-30,0.0492
2018-05-31,0.0511
2018-06-29,0.0497
2018-07-31,0.0449
2018-08-31,0.0393
2018-09-28,0.0361
2018-10-31,0.0421
2018-11-30,0.0383
