DATE,JPM US Equity,BAC US Equity,WFC US Equity,C US Equity,USB US Equity,PNC US Equity,COF US Equity,BBT US Equity,STI US Equity,ADM US Equity,MTB US Equity,KEY US Equity,FITB US Equity,CFG US Equity,RF US Equity,FRC US Equity,HBAN US Equity,CMS US Equity,CMA US Equity,ZION US Equity,EWBC US Equity,CBSH US Equity,SBNY US Equity,CFR US Equity,PBCT US Equity,BOKF US Equity,WBS US Equity,NYCB US Equity,FCNCA US Equity,WAL US Equity,CIT US Equity,PACW US Equity,PB US Equity,TFSL US Equity,PNFP US Equity,FFIN US Equity,SNV US Equity,WTFC US Equity,STL US Equity,UMPQ US Equity,HE US Equity,IBKC US Equity,GBCI US Equity,FNB US Equity,MBFI US Equity,ASB US Equity,TCF US Equity,UBSI US Equity
1999-12-31,51.7917,25.0938,20.2188,388.4687,20.8301,44.5,48.1875,27.375,68.8125,10.9977,41.425,22.125,48.9167,#N/A,20.3507,#N/A,21.7045,31.1875,46.6875,59.1875,5.7188,13.4055,#N/A,25.75,4.4709,17.9502,23.5625,6.7813,69.75,#N/A,#N/A,#N/A,8,#N/A,#N/A,4.92,60.8395,10.1667,3.5112,9.25,14.4375,11,5.686,9.7077,8.2917,18.8705,12.4375,23.875
2000-01-31,53.7917,24.2188,20,397.6246,23.5417,48,41,28.125,59.5625,10.6576,41.1,21,44.25,#N/A,19.642,#N/A,19.6023,30,44.1875,59.125,6.2813,12.1812,#N/A,24.875,4.3783,14.8822,23.25,5.7031,60.875,#N/A,#N/A,#N/A,7.9688,#N/A,#N/A,4.5,58.1611,10.0833,3.3842,8.5,15.0625,11.2,5.2011,9.5986,7.6667,16.6667,11.4688,21.125
2000-02-29,53.0833,23,16.5313,361.0012,17.5639,38.6875,36.8125,23.5,50.8125,9.127,36.9,16.9375,34.7083,#N/A,16.4021,#N/A,18.9773,16.75,36.8125,53.0625,6.2813,11.3774,#N/A,21.5,4.2229,13.7715,21.125,4.75,64.5,#N/A,#N/A,#N/A,7.0313,#N/A,#N/A,4.16,50.1257,10.1667,3.5535,7.875,14.4063,11.1,4.6722,9.4895,7.3333,13.9463,9.9063,18.3125
2000-03-31,58.125,26.2188,20.375,417.6802,22.6173,45.0625,47.9375,28.0625,57.75,9.3537,44.65,19,42,#N/A,18.4776,#N/A,20.3409,18.125,41.875,41.625,5.5313,12.342,#N/A,26.4375,4.4312,16.437,23,4.5156,56.469,#N/A,#N/A,#N/A,7.375,#N/A,#N/A,4.2,57.7784,9.5,3.4266,6.375,15.9063,10.8,4.9807,8.017,6.625,16.4601,11.9063,22
2000-04-28,48.0833,24.5,20.5313,411.5763,24.5278,43.625,43.75,26.625,50.75,9.0136,43.925,18.5,42.0833,#N/A,16.5539,#N/A,16.5909,19,42.375,41.5,6.25,12.2183,#N/A,24.6875,4.3122,14.5767,21.375,5.0781,63.125,#N/A,#N/A,#N/A,6.9688,#N/A,#N/A,4.32,56.8218,10.3333,3.4124,8.375,18.5,11.2,5.0248,9.0478,7.3333,14.084,11.6875,21.8125
2000-05-31,49.7917,27.7188,22.625,433.8119,25.2057,50.1875,47.25,29.3125,59.75,10.8277,43.25,21,45.3333,#N/A,18.3258,#N/A,17.6136,22.75,50.625,46.625,6.1563,13.7518,#N/A,26.5,4.4577,14.4934,23.0625,4.9375,60,#N/A,#N/A,#N/A,7.4688,#N/A,#N/A,4.68,61.2222,10.0417,3.4689,8.5,17.6563,11.6,4.9455,8.4178,7.3333,15.4261,13.0938,19
2000-06-30,46.0625,21.5,19.375,420.2961,20.7685,46.875,44.625,23.875,45.6875,8.9002,45,17.625,42.1667,#N/A,16.0983,#N/A,14.375,22.125,44.875,45.8906,7.1875,11.7731,#N/A,26.2969,3.8889,15.6041,22.1875,4.6094,59.5,#N/A,#N/A,13.375,8.0625,#N/A,#N/A,4.4,53.9521,10.2917,3.3842,8,16.4063,12.3,5.1152,9.4486,8.1667,13.2197,12.8516,18.1875
2000-07-31,49.8125,23.6875,20.75,491.7988,19.4743,50.875,58.5938,24.9375,47.875,8.5034,47.244,17.5625,41.3125,#N/A,16.149,#N/A,15.6875,25.5625,51,43.75,8,12.985,#N/A,28.4375,4.1799,16.2704,22.375,5.7813,61,#N/A,#N/A,14.5,8.5,#N/A,#N/A,4.64,55.1,10.4167,3.5112,7.9375,15.875,13.2,4.7515,9.3341,8,13.8258,14.7188,18.9375
2000-08-31,55.875,26.791,21.6035,543.137,23.561,58.9571,60.3321,27.0821,49.3946,8.4115,48.469,20.2071,46.1875,#N/A,17.617,#N/A,16.875,26.125,56.3321,44.75,8.5313,14.2464,#N/A,31,4.4709,15.8817,24.6563,6.5938,65.813,#N/A,#N/A,15.375,8.2188,#N/A,4.6875,5.12,60.3255,11.5417,3.5958,7.8125,16.375,13.7,4.9212,10.0785,8.8333,15.2178,16.4063,19.875
2000-09-29,46.1875,26.1875,22.9688,502.8438,22.0627,65,70.0625,30.125,49.875,8.2143,51,25.3125,53.875,#N/A,18.3764,#N/A,14.6875,26.9571,58.4375,51.1406,9.7813,14.568,#N/A,32.5,4.4577,16.437,26.9375,7.2188,71.563,#N/A,#N/A,15.4375,9.1875,#N/A,4,5.13,64.8573,11.3333,3.5253,7.8125,17.4473,14.65,4.3152,9.7922,9.0417,15.9091,18.8125,19.625
