Date,SCHW US Equity,IBKR US Equity,FRC US Equity,LEN US Equity,RJF US Equity,JEF US Equity,FHN US Equity,BGCP US Equity,LAZ US Equity,DCP US Equity,SEB US Equity,SF US Equity,EVR US Equity,BOH US Equity,PJC US Equity,ITG US Equity,INTL US Equity,LTS US Equity,GHL US Equity,COWN US Equity,OPY US Equity,GCAP US Equity,GLXY CN Equity,AI US Equity,CFFI US Equity,JMP US Equity,NHLD US Equity,COHN US Equity,GLCH US Equity,TRAC US Equity,CPFH US Equity,WSFL US Equity,OPBL US Equity,GLBR US Equity,CDK US Equity,RCKXF US Equity,TRAK US Equity,TDTD US Equity,DLAD US Equity,11037Z US Equity,ISTN US Equity,SGHT US Equity,NTDR US Equity,NTDRE US Equity,DLNT US Equity,DLRS US Equity,10942Z US Equity,11038Z US Equity,11367Z US Equity,13667Z US Equity,14911Z US Equity,1790Q US Equity,2316Z US Equity,6039Z US Equity,FXCM US Equity,NDB US Equity,0121768D US Equity,BKGE US Equity,ALTB US Equity,CPBN US Equity,BKPS US Equity,DKBK US Equity,1559617D US Equity,BBZKF US Equity,0121734D US Equity,10765Z US Equity,1313266D US Equity,14376Z US Equity,17844Z US Equity,7114Z US Equity,MBKN US Equity,VRBB US Equity,FNF US Equity,AMP US Equity,AMTD US Equity,LPLA US Equity,WDR US Equity
1993-12-31,1.5988,#N/A,#N/A,3.9831,3.284,6.6479,8.0183,#N/A,#N/A,#N/A,186,2.5138,#N/A,13.6667,#N/A,3.466,#N/A,#N/A,#N/A,#N/A,8.5,#N/A,#N/A,#N/A,#N/A,#N/A,39.1763,#N/A,62.8102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-01-31,1.4568,#N/A,#N/A,4.1144,3.4815,6.8506,8.0183,#N/A,#N/A,#N/A,186.5,2.6444,#N/A,15.5833,#N/A,3.6526,#N/A,#N/A,#N/A,#N/A,9.625,#N/A,#N/A,#N/A,#N/A,#N/A,41.9746,#N/A,70.4235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-02-28,1.358,#N/A,#N/A,3.9831,3.2346,6.729,7.9662,#N/A,#N/A,#N/A,200,2.4159,#N/A,15.5417,#N/A,3.2527,#N/A,#N/A,#N/A,#N/A,9.125,#N/A,#N/A,#N/A,#N/A,#N/A,41.0418,#N/A,65.6652,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-03-31,1.3272,#N/A,#N/A,3.6183,3.0617,6.2223,7.9662,#N/A,#N/A,#N/A,181,2.2526,#N/A,15,#N/A,3.9459,#N/A,#N/A,#N/A,#N/A,7.75,#N/A,#N/A,#N/A,#N/A,#N/A,36.378,#N/A,63.7619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-04-29,1.4012,#N/A,#N/A,3.5892,2.9383,6.1412,8.7472,#N/A,#N/A,#N/A,178,2.0894,#N/A,15.5,#N/A,4.5858,#N/A,#N/A,#N/A,#N/A,7.125,#N/A,#N/A,#N/A,#N/A,#N/A,26.1175,#N/A,66.6169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0625,#N/A,#N/A,#N/A,#N/A,#N/A
1994-05-31,1.4938,#N/A,#N/A,3.239,2.9136,6.1007,8.8123,#N/A,#N/A,#N/A,189,2.0894,#N/A,16.375,#N/A,4.2659,#N/A,#N/A,#N/A,#N/A,6.8438,#N/A,#N/A,#N/A,#N/A,#N/A,27.9831,#N/A,65.9507,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0625,#N/A,#N/A,#N/A,#N/A,#N/A
1994-06-30,1.2222,#N/A,#N/A,3.3046,2.8642,5.8372,9.1117,#N/A,#N/A,#N/A,169.5,2.0894,#N/A,15.9375,#N/A,3.8393,#N/A,#N/A,#N/A,#N/A,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,25.1848,#N/A,61.9537,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-07-29,1.321,#N/A,#N/A,3.5235,2.6667,5.898,9.4241,#N/A,#N/A,#N/A,180,1.8282,#N/A,16.6875,#N/A,3.4927,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A,#N/A,22.3865,#N/A,59.9552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-08-31,1.5185,#N/A,#N/A,3.4578,3.1605,6.0399,9.8927,#N/A,#N/A,#N/A,187.5,1.665,#N/A,16.1875,#N/A,3.8659,#N/A,#N/A,#N/A,#N/A,6.5469,#N/A,#N/A,#N/A,#N/A,#N/A,19.5882,#N/A,55.9582,593.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1994-09-30,1.463,#N/A,#N/A,2.67,3.0617,5.817,9.372,#N/A,#N/A,#N/A,183,1.665,#N/A,15.1875,#N/A,3.8393,#N/A,#N/A,#N/A,#N/A,6.3125,#N/A,#N/A,#N/A,#N/A,#N/A,24.252,#N/A,57.9567,625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
