DATE,BX US Equity,WY US Equity,SIVB US Equity,IEP US Equity,KW US Equity,RST US Equity,SFE US Equity
1999-12-31,#N/A,29.3903,24.75,7.274,#N/A,#N/A,325.9999
2000-01-31,#N/A,23.4815,27.875,7.3932,#N/A,#N/A,285.9999
2000-02-29,#N/A,21.0004,39.625,7.3336,#N/A,#N/A,350.7499
2000-03-31,#N/A,23.3281,35.938,7.8702,#N/A,#N/A,413.9999
2000-04-28,#N/A,21.8445,30.875,7.6913,#N/A,#N/A,252.7499
2000-05-31,#N/A,20.3097,32.813,8.5857,#N/A,#N/A,193.125
2000-06-30,#N/A,17.5984,42.625,8.7646,#N/A,#N/A,192.375
2000-07-31,#N/A,18.6983,43.813,8.9434,#N/A,#N/A,186.375
2000-08-31,#N/A,18.9621,57.625,8.4664,#N/A,#N/A,173.625
2000-09-29,#N/A,16.6008,58.234,8.6453,#N/A,#N/A,119.25
2000-10-31,#N/A,19.2098,46.25,8.5857,#N/A,#N/A,92.25
2000-11-30,#N/A,17.9053,34.5,8.4068,#N/A,#N/A,52.5
2000-12-29,#N/A,20.7702,34.563,8.5261,#N/A,#N/A,39.75
2001-01-31,#N/A,21.4864,32.5,9.5397,#N/A,#N/A,70.74
2001-02-28,#N/A,21.9939,27.938,9.3966,#N/A,#N/A,43.14
2001-03-30,#N/A,20.7865,23.5,8.9196,#N/A,#N/A,33.54
2001-04-30,#N/A,23.1357,25.06,8.7765,#N/A,#N/A,29.7
2001-05-31,#N/A,23.414,27.65,9.9689,#N/A,#N/A,36.54
2001-06-29,#N/A,22.4973,22,9.3489,#N/A,#N/A,30.84
2001-07-31,#N/A,24.4454,20.16,9.2916,#N/A,#N/A,22.2
2001-08-31,#N/A,23.2258,22.36,9.1581,#N/A,#N/A,19.14
2001-09-28,#N/A,19.9353,20.2,8.4903,#N/A,#N/A,10.62
2001-10-31,#N/A,20.4264,23.44,8.6906,#N/A,#N/A,13.2
2001-11-30,#N/A,21.6296,25.23,9.1581,#N/A,#N/A,25.14
2001-12-31,#N/A,22.133,26.73,8.6143,#N/A,#N/A,21
2002-01-31,#N/A,23.8683,23.02,8.7288,#N/A,#N/A,21.6
2002-02-28,#N/A,25.3007,27.76,8.6811,#N/A,#N/A,16.92
2002-03-29,#N/A,25.7264,30.25,8.5666,#N/A,#N/A,18.06
2002-04-30,#N/A,24.3963,31.95,9.5397,#N/A,#N/A,15.72
