DATE,BRK/A US Equity,UNH US Equity,CI US Equity,MMC US Equity,MET US Equity,PRU US Equity,PGR US Equity,AIG US Equity,AFL US Equity,TRV US Equity,ALL US Equity,AMP US Equity,MKL US Equity,HIG US Equity,L US Equity,AJG US Equity,PFG US Equity,LNC US Equity,CINF US Equity,CNA US Equity,KMX US Equity,ALLY US Equity,EQH US Equity,TMK US Equity,WRB US Equity,RGA US Equity,Y US Equity,AFG US Equity,ATH US Equity,BRO US Equity,UNM US Equity,ERIE US Equity,VOYA US Equity,ORI US Equity,UHAL US Equity,AIZ US Equity,FAF US Equity,MDU US Equity,PRI US Equity,KMPR US Equity,THG US Equity,BHF US Equity,LSTR US Equity,FNB US Equity,RDN US Equity,SIGI US Equity,TRN US Equity,ANAT US Equity,RLI US Equity,BXS US Equity,MCY US Equity
1999-12-31,56100,6.641,26.854,47.8438,#N/A,#N/A,6.0938,1207.6996,11.7969,33.688,24.0625,#N/A,155,47.375,10.1146,16.1875,#N/A,40,28.288,38.0537,1.1563,#N/A,#N/A,12.9167,4.1235,27.75,146.265,17.5833,#N/A,2.3945,32.0625,32.375,#N/A,7.2667,25,#N/A,#N/A,8.8889,#N/A,35.2283,55.625,#N/A,5.3516,9.7077,23.875,8.5938,6.823,63.75,8.5,16.3125,22.25
2000-01-31,51200,6.625,23.917,47,#N/A,#N/A,5.1875,1165.8141,10.8594,30.188,23.1875,#N/A,164,38.125,9.3333,13.4375,#N/A,36.9375,26.0771,33.1061,0.7813,#N/A,#N/A,11.1944,3.4321,22.125,147.005,14.25,#N/A,2.1445,26.75,30.5,#N/A,6.4667,26,#N/A,#N/A,8.8056,#N/A,33.7068,46.75,#N/A,5.8906,9.5986,20.1563,7.5313,5.6084,57.75,7.8125,15.375,23.75
2000-02-29,44000,6.391,24.604,38.6875,#N/A,#N/A,4.9583,987.8005,9.1406,22.375,19.6875,#N/A,130.75,31.25,7.4167,12.7813,#N/A,27.625,27.0975,26.3871,0.8125,#N/A,#N/A,8.8056,3.1728,17.0625,146.61,14,#N/A,2.0625,13.375,31,#N/A,6.2333,17.125,#N/A,#N/A,8.4722,#N/A,31.7757,41.75,#N/A,7.0234,9.4895,17.3438,7.7188,5.3085,58.5,7.4531,16.0625,22.6875
2000-03-31,57200,7.453,25.25,55.1563,#N/A,#N/A,6.3385,1223.0576,11.3906,34.125,23.8125,#N/A,145.5,52.75,8.3333,16.25,#N/A,33.5,34.127,31.5791,1.6563,#N/A,#N/A,10.2778,4.5556,23.8125,151.201,19.0833,#N/A,2.418,16.9375,32.4375,#N/A,7.3333,18.375,#N/A,#N/A,9.2222,#N/A,37.2179,51,#N/A,6.8438,8.017,23.8125,8.5313,5.6833,57.5,8.375,16.375,29.5
2000-04-28,59300,8.336,26.583,49.2813,14.7594,#N/A,5.4531,1225.1519,12.2031,35.625,23.75,#N/A,145,52.0625,9.1875,18.625,#N/A,34.8125,36.5646,30.052,1.2813,#N/A,#N/A,11.1389,4.1728,24.875,135.569,16.9583,#N/A,2.5078,17,29.75,#N/A,7.6,16.75,#N/A,#N/A,9.6944,#N/A,31.6001,54.125,#N/A,7.1563,9.0478,25.4688,9.4688,5.3384,51.625,8.0313,15.4375,27.375
2000-05-31,58600,9.32,29.604,55.0313,18.2683,#N/A,7.8229,1257.2641,12.9219,37.5,26.5,#N/A,143.938,59.125,10.9792,19.3438,#N/A,38.75,36.4087,34.8774,1.344,#N/A,#N/A,12.0833,4.358,32.75,133.709,18.625,#N/A,2.9141,22.6875,27.5,#N/A,9.3667,17.188,#N/A,#N/A,10.1389,#N/A,30.0201,57.6875,#N/A,6.6563,8.4178,27.5,9.2188,5.2935,54,9.0938,15.375,25.5
2000-06-30,53800,10.719,31.167,52.2188,18.679,#N/A,6.1667,1312.4134,11.4844,34.125,22.25,#N/A,141.625,55.9375,10,21,#N/A,36.125,28.5147,33.2282,1.6875,#N/A,#N/A,10.9722,3.7037,30.125,135.116,16.5521,#N/A,3.25,20.0625,31.5,#N/A,8.8,20,#N/A,#N/A,9.6181,#N/A,27.5038,52.375,#N/A,7.4453,9.4486,25.8828,9.5,4.4387,51,8.6914,14.0625,23.625
2000-07-31,55100,10.227,33.292,61,18.7138,#N/A,5.6042,1469.1351,12.9844,44.438,27.5625,#N/A,154.625,64.25,10.4583,24.5313,#N/A,43.625,34.2404,37.6872,1.6565,#N/A,#N/A,11.0556,4.7901,31.8125,142.455,16.6667,#N/A,3,23,31.875,#N/A,11.9,19.75,#N/A,#N/A,10.3333,#N/A,26.4505,59.125,#N/A,6.8047,9.3341,30.4375,9.2188,4.6187,61.8125,8.75,15.1875,26.125
2000-08-31,57700,11.815,32.423,59.3203,21.6657,#N/A,6.3177,1493.5471,13.5049,47.516,29.0821,#N/A,145.875,66.6446,13.4896,24.5,#N/A,54.0196,35.2608,38.7866,2.344,#N/A,#N/A,12.4809,5.2346,28.5,140.294,16.5417,#N/A,3.3359,21.7071,30.9375,#N/A,12.7667,19.625,#N/A,#N/A,11.1111,#N/A,28.4986,60.875,#N/A,6.375,10.0785,31.0625,8.9688,4.6486,61.5,9.625,14.625,27.4375
2000-09-29,64400,12.344,34.8,66.375,23.3923,#N/A,6.8229,1603.1689,16.1563,50.375,34.75,#N/A,151.75,72.875,13.8958,29.5625,#N/A,48.125,32.1995,37.3818,2.2815,#N/A,#N/A,12.3611,6.8272,34.25,157.636,15.4583,#N/A,3.9766,27.25,29.375,#N/A,12.8333,19.563,#N/A,#N/A,13.2222,#N/A,29.669,63.9375,#N/A,5.5781,9.7922,33.75,8.9375,5.6084,63.875,9.6406,14.375,28.3125
