DATE,JPM US Equity,BAC US Equity,WFC US Equity,C US Equity,USB US Equity,PNC US Equity,COF US Equity,BBT US Equity,STI US Equity,ADM US Equity,MTB US Equity,KEY US Equity,FITB US Equity,RF US Equity,HBAN US Equity,CMS US Equity,CMA US Equity,ZION US Equity,EWBC US Equity,CBSH US Equity,CFR US Equity,PBCT US Equity,BOKF US Equity,WBS US Equity,NYCB US Equity,SCHW US Equity,LEN US Equity,RJF US Equity,JEF US Equity,FHN US Equity,BGCP US Equity,SEB US Equity,SF US Equity,BOH US Equity,ITG US Equity,INTL US Equity,LTS US Equity,OPY US Equity,AI US Equity,CFFI US Equity,NHLD US Equity,GLCH US Equity,TRAC US Equity,CPFH US Equity,AMTD US Equity,WDR US Equity,WY US Equity,SIVB US Equity,IEP US Equity,SFE US Equity,BRK/A US Equity,UNH US Equity,CI US Equity,MMC US Equity,MET US Equity,PGR US Equity,AIG US Equity,AFL US Equity,TRV US Equity,ALL US Equity,MKL US Equity,HIG US Equity,L US Equity,AJG US Equity,LNC US Equity,CINF US Equity,CNA US Equity,KMX US Equity,TMK US Equity,WRB US Equity,RGA US Equity,Y US Equity,AFG US Equity,BRO US Equity,UNM US Equity
2003-12-31,74939.1537,119503.3005,99643.5909,250402.1698,57438.055,15174.6307,14153.1484,21120.8896,20129.3949,9842.2289,11799.1356,12289.2845,33628.8739,8264.5304,5149.9168,1372.8353,9830.5696,5511.9816,1303.8926,3346.6543,2103.7816,2016.8859,2209.731,2091.9911,7325.4047,16062.0613,7492.1069,1830.2143,3210.5928,5534.8676,1307.4934,353.9382,137.4887,2360.0646,754.6911,28.114,24.2627,436.9531,3842.5178,143.4043,4.7146,159.4002,68.4928,4.7911,6055.7987,1932.4941,14215.3811,1252.6822,803.0035,482.1065,129450.6461,34130.8972,8078.1867,25393.2662,25594.6993,18055.2563,172854.6639,18554.19,9046.405,30267.776,2496.1355,16699.8172,9170.359,2926.4003,7185.2865,6697.8566,5389.1768,3205.3315,5154.0122,2917.4232,2334.9238,1667.059,1844.2779,2238.5427,4668.8979
2004-01-30,79436.7131,117395.5937,97488.4382,255163.4072,54360.3837,16041.1554,16703.8,20106.085,20399.9552,10126.7611,10817.1833,12948.7981,32720.4094,8323.7623,5113.7509,1414.7293,9994.25,5268.2527,1277.6367,3321.2523,2093.3037,2349.006,2248.2272,2329.9966,8357.7368,17079.5061,6880.2299,1846.7202,3425.7931,5575.0299,1252.9217,382.8055,151.7311,2405.3191,727.0299,31.6218,36.8273,434.4164,3962.3884,152.7961,7.4424,175.8977,78.7667,6.2551,6807.3547,2186.206,13651.2819,1212.3364,798.7523,613.3732,137434.2874,35714.8336,8713.2024,24884.2344,25503.4797,17885.4595,181121.8528,18913.171,9612.2331,31984.4979,2672.1874,18639.6012,9951.0913,2817.4146,7858.0728,6949.7281,5762.6177,3459.8256,5369.0457,3214.5913,2392.9193,1745.7292,1994.8312,2379.2668,4627.4492
2004-02-27,84425.97,118058.52,97386.5517,259185.7891,54988.9247,16640.1085,16619.2,20438.7423,20404.3845,11145.4782,11452.9542,13502.7351,31647.0773,8190.5821,5296.9574,1482.4043,10069.5,5235.0117,1298.4014,3354.5191,2200.3509,2785.2234,2322.596,2329.9966,9485.2627,16604.6985,7716.7942,1867.7732,3621.493,5803.453,1133.2709,421.2116,175.2804,2496.4624,647.8395,29.6912,32.9279,425.687,4431.8814,139.9728,8.0822,151.4359,73.8743,5.9889,6828.3215,2136.7816,14493.0808,1199.7261,717.9796,522.6798,145017.4876,38799.9852,7814.1718,25446.2904,26615.5804,17887.6235,192988.0073,20706.7141,9751.4086,32123.52,2679.9596,19083.1116,11180.6055,3028.3991,8389.9009,7200,6149.4756,3527.2585,5898.707,3476.7003,2443.6653,1761.3884,2096.594,2533.0336,4387.639
2004-03-31,86340.0644,117339.2885,96313.4113,267070.8654,53292.8031,15676.2171,18021.2152,19426.0636,19670.7184,10931.6406,10713.6693,12546.6813,31279.8763,8120.1743,5053.1269,1442.2763,9476.7869,5120.9223,1404.7207,3239.485,2217.9869,2898.3214,2352.0306,2346.9907,9315.6758,15819.3563,8300.8965,1821.5919,3775.8204,5918.4778,1173.8726,420.4585,176.6136,2534.2047,670.1966,35.0119,37.9556,433.8016,4517.9667,146.1817,7.9812,172.8044,55.7727,4.658,6487.1161,1999.0348,14658.4065,1139.8151,710.8358,445.3428,143435.7524,40010.6088,8320.2674,24286.201,26967.2789,19004.3559,186148.4397,20508.7299,9166.5068,32038.7591,2837.3697,18577.397,10954.2305,2931.2023,8455.1423,6963.7317,6162.8926,3029.2926,6044.5868,3339.4595,2549.7844,1894.6395,2184.3852,2663.9554,4334.108
2004-04-30,78271.9182,164448.4784,95822.841,248697.435,48746.7667,15019.977,15714.0942,18901.2863,19212.6781,11378.7557,10117.6348,12240.9445,30197.7157,7592.4306,4909.3741,1339.1415,8940.184,5075.7666,1413.545,3022.5334,2223.1649,2630.8704,2241.6456,2014.0065,6791.205,14020.7731,7215.1956,1841.3839,3491.888,5454.4294,985.6945,404.7823,169.8413,2329.7208,627.707,30.8741,63.2593,411.8061,3112.1402,134.49,7.1393,155.065,49.4126,6.7454,5164.4184,1809.522,14149.6182,1210.7365,774.4515,311.2611,143612.8611,38172.7534,9121.9459,23368.9129,26075.4239,18987.0003,186888.2145,21467.4094,27092.7832,32348.857,2887.7308,17813.3031,10759.4803,2926.2262,8019.1629,6871.015,7015.5045,2689.0159,5922.9327,3393.2763,2416.1878,2010.7848,2248.0934,2681.1378,4607.4401
2004-05-31,76716.7547,169485.1944,99228.0577,240111.9969,53259.053,15571.0633,16797.4527,20900.5261,18380.109,10809.1224,10735.5702,12888.6221,30557.3372,8344.7739,5223.6703,1409.7518,9807.1167,5488.1524,1524.2003,3129.8869,2249.8634,2997.1593,2250.5015,2168.9403,6191.4631,13375.2845,7062.7064,1898.1808,3522.3631,5773.7719,1065.0132,469.4074,188.3805,2315.3332,598.33,32.26,40.6561,360.7984,3280.364,135.4977,7.0984,141.272,48.9761,6.5409,4964.8003,1802.7517,14453.4185,1319.8374,862.0479,305.2513,136887.7472,40182.4984,9587.1637,23087.947,26870.1021,18646.9982,191182.8997,20649.0624,26470.6142,30901.477,2832.1337,19308.5937,10689.7195,2891.7252,8467.3534,7192.9439,7683.5259,2377.4874,6031.8454,3492.1735,2474.362,2043.5221,2216.5984,2750.1641,4313.9999
2004-06-30,80735.8463,172523.0019,96578.6011,240474.0007,52235.5695,14970.3321,16394.659,20506.6998,18354.6909,10906.619,10347.966,12264.9129,30539.94,8022.1327,5271.8464,1493.1594,9507.4115,5501.5819,1542.54,3089.2085,2297.6127,2919.3719,2322.6595,2177.2753,5189.5141,13115.9678,6871.7181,1946.0032,3522.3631,5637.3933,990.9058,624.9771,204.1414,2409.6517,560.633,47.3819,39.3303,374.2307,3329.1489,119.0531,5.3745,136.2518,52.4044,6.5409,4739.3174,1824.2032,15084.3193,1400.3627,1014.6185,275.3247,136690.3046,38335.0272,9729.9814,23747.3036,27096.854,18544.8169,185914.285,20755.8679,27092.9236,32707.225,2733.6247,20073.6953,11121.9085,2764.6164,8424.562,7322.501,7573.4688,2273.5308,5988.4348,3601.1729,2530.3853,2200.7161,2243.0126,2964.7843,4711.0301
2004-07-30,133019.2941,172683.1935,96906.356,228399.4184,53320.0293,14270.8893,16740.78,21508.2412,18645.8188,10029.1497,10915.2661,12290.5941,27681.2862,13766.659,5606.0938,1476.805,10034.0546,5430.0204,1696.3857,3106.207,2216.9325,2953.111,2427.462,2487.5107,5086.4112,11983.1631,6562.9139,1719.3986,3649.2249,5374.5546,604.649,651.4095,181.926,2362.5991,549.7513,42.7253,27.3987,318.3853,2767.2814,126.4693,3.3802,114.4027,40.4075,6.5409,4630.7515,1602.2645,14816.619,1302.4703,873.8568,227.4422,134042.3237,38735.3126,8768.4369,23224.0047,26960.8029,16657.7242,184271.1031,20139.0628,24773.919,33079.6166,2782.8792,19010.7298,10504.2307,2845.3997,7791.6054,6699.84,6751.8792,2163.4622,5856.9283,3440.7613,2480.5868,2074.1941,2178.4444,2924.8869,4725.8446
2004-08-31,140984.7137,182961.2783,99208.5977,241296.4089,55438.8473,15154.2768,16364.7989,22171.7945,19258.0204,10380.1374,11120.1542,12753.4025,27927.9781,14920.815,5666.3387,1548.265,10309.4095,5575.0379,1823.0502,3211.2094,2318.4517,3092.1858,2539.4054,2609.5632,5652.0476,12913.3212,7038.0692,1786.5181,3828.6269,5615.2949,545.7737,667.776,202.7904,2496.6883,574.8229,39.8626,23.1916,316.912,3175.473,128.0581,2.7257,127.1733,37.4366,4.5713,4659.1068,1793.6782,15103.0121,1331.2922,1024.3491,213.1315,133750.0718,43956.4705,9153.7438,23266.7012,27942.7633,17428.2232,185608.4803,20336.7551,23199.687,32715.9595,2893.629,17931.4278,10535.8089,2927.1693,7972.1751,6791.2154,6168.3298,2036.5668,5645.621,3394.8556,2483.6393,1995.6548,2168.3652,3093.8077,4795.8408
2004-09-30,141519.0166,176249.7152,100694.6159,228552.9747,54311.2775,15275.6917,17847.6777,22005.4645,19911.266,11052.8866,11204.451,12855.1043,27597.1709,15276.6226,5721.4632,1535.3628,10172.2935,5464.0384,1690.2086,3195.263,2394.7199,3349.0087,2640.6265,2619.6407,5437.614,12558.034,7304.3024,1779.1419,4016.5132,5354.7215,536.4956,735.4259,194.0518,2484.594,640.5529,39.8576,23.6554,320.956,3217.588,135.4358,2.9074,133.2987,36.4642,5.7468,4912.7193,1815.1297,16062.2129,1324.8763,997.6138,223.9078,133121.4982,49014.8214,9575.9493,23823.7693,28992.9611,18394.0463,177140.9402,19885.3907,22109.5893,33256.49,3036.9072,18157.1831,10851.1412,3043.8519,8271.3517,6937.6431,6145.2946,2241.4716,5832.0537,3544.5051,2567.7776,2094.5894,2200.7619,3148.9312,4650.6021
